,TEAM,d_W
0,Portland Trail Blazers,-15
1,Los Angeles Lakers,-9
2,Indiana Pacers,-9
3,Minnesota Timberwolves,23
4,Cleveland Cavaliers,22
5,Toronto Raptors,21
6,Memphis Grizzlies,18
7,Boston Celtics,15
8,Chicago Bulls,15
9,Golden State Warriors,14
10,Phoenix Suns,13
11,Miami Heat,13
12,Dallas Mavericks,10
13,Charlotte Hornets,10
14,Milwaukee Bucks,5
15,New Orleans Pelicans,5
16,Detroit Pistons,3
17,Houston Rockets,3
18,Atlanta Hawks,2
19,Oklahoma City Thunder,2
20,Philadelphia 76ers,2
21,Washington Wizards,1
22,San Antonio Spurs,1
23,Denver Nuggets,1
24,Orlando Magic,1
25,Sacramento Kings,-1
26,Utah Jazz,-3
27,New York Knicks,-4
28,Brooklyn Nets,-4
29,LA Clippers,-5
30,Indiana Pacers,-9
31,Los Angeles Lakers,-9
32,Portland Trail Blazers,-15
